victim
Abad, Francis Dela Cerna
Marohom, Bolcano Sarip
Marohombsar, Saladdin Macarimbang
Marquez, Gaudencio Mangupit
Martil, Maria Fe Gella
Martinez Jr., Gregorio Cosmiano
Martinez, Benjamin Lagrama
Martinez, Wilfredo Morales
Martirez, Carlito Solares
Masangkay, Aurelio Manapos
Masangkay, Mariano De Los Reyes
Matabalao, Tahir Kudanding
Maylas, Renato Rosalada
Mazo Jr., Vetallano Malupa
Medayo, Noli Tarong
Medina, Romeo Ramos
Megallen, Joseph Sinangote
Melegrito, Daniel Hernandez
Melencio, Gloria Esguerra
Melindo, Godofredo Ayala
Mendez, Zacarias Napal
Mendiola, Bienvenido Trinidad
Mendones, Virgilio Molde
Mendoza Jr., Amado Mallonga
Mendoza Jr., Crispin Paragas
Mendoza, Anastacio Asi
Mendoza, Corsino Dote
Mendoza, Danilo Ambahan
Mendoza, Jaime Lingat
Mendoza, Maria Dolores Villanueva
Mendoza, Raul Dela Cerna
Mendoza, Sixto Asi
Mendoza, Victorio Lomugpang
Meraña, Elpidio Asis
Mercado, Alfredo Ponce
Mercado, David Rosalia
Mercado, Luzminda Sarmiento
Mercado, Rolando Malones
Merecido, Dante Formarejo
Merecido, Edgardo Formarejo
Miguel, Herlindo Revillame
Miguel, Julieta Cosme
Milan, Federico Baesa
Miole, Arnulfo Aradillos
Mique, Zenaida Salientes
Mirabel, Efren Abejuela
Miranda, Erlinda Doria
Miranda, Jose Del Rosario
Mojado, Jorge Sumadela
Momar, Gaudencio Delauta
Momongan , Manuel Maskariño
Moncano, Fernando Labrigas
Moncupa Jr., Antonio Cruz
Mondia Sr., Rodrigo Moro
Monis, Jaime Acosta
Monte, Danilo Decosto
Montecillo, Billy Molde
Montemor, Ludie Gallardo
Montenegro, Zwingli Pialago
Montera, Dominador Tagra
Montero, Ellen Ricafranca
Montiagodo, Dominador Herbolario
Montiel, Rolando Perez
Montiel, Saturnino Villegas
Moquerio, Jesus Isarna
Morales, Francis  Santander
Morales, Franklin Gavino
Morales, Leonor Cabunoc
Morales, Ruben Pineda
Morden, Michael Mangahis
Moreno , Billy Japson
Morillo, Amado Tolentino
Mosquiola, Mario Parcon
Murillo, Norberto Alpino
Mutuc, Peter Ferrer
Muyco, Jerry Amoson
Muyong, Demetrio Paala
Muyot, Edmundo Fugen
Nablo, Felomino Oocasla
Nabong, Veronica Abejo
Nacario, Reynaldo Pelagio
Naga, Wilfredo Kabingue
Nagallo, Victor Molomonggan
Nalam, Virginia Coronado
Napoles, Jose  Arcellas
Narciso, Nestor Pineda
Nasiad, Dante Flores
Natividad, Arturo Jamil Precino
Naul, Armando Roma
Navarro, Manuel Oboza
Navidad, Antonio Rinonos
Navidad, Jose Renonos
Nazareno, Bienvenido Dela Cruz
Nebrija, Rodrigo Libanan
Nedula, Lorenzo Nesay
Nicban, Rodrigo Sanchez
Nieva , Romeo  Claro
Nolasco, Pedro Aldea
Novabos, Galo Casis
Noval, Grace Mahinay
Nunez, Victoriano Oros
Obedoza, George Delcorro
Oblino, Roberto Paclita
Ocampo, Anacleto Cunanan
Ocampo, Benjamin Romulo Castro
Ocampo, Danilo Medina
Ocampo, Medardo Sace
Ocasla, Angel Pacuan
Ocenar, Ernesto Bacalan
Ocomen, Fernando Nicomedez
Oebanda Jr., Ricardo Grey
Oebanda, Cecilia  Flores
Ohara, Jerry Herrero
Olayer, Auxilium Toling
Olido, Demetrio Lucio
Olivar, Gary Bocobo
Oliveros, Paulito Mantua
Omboy, Ma Tarcinita Bizar
Orcullo Jr., Hugo Lavisores
Ordiz, Reynaldo Garcia
Oreta, Antonio Carreon
Ortega, Luis Agregado
Ortigas, Fluellen Montero
Ortiz, Wilfredo Alba
Ortiza, Noel Labasano
Otacan, Alejandro Sabino
Ototan, Leo Ubod
Paala Jr., Felomino Nedula
Paala, Eduardo Nedula
Paala, Felipe Nedula
Pable, Ruben Melgo
Pacayra, Tirso Mabag
Pacheco, Bernardo Roquero
Paclarin, Alexander Bautista
Pacomio, Carlito Maramba
Pacuan, Roque .
Padada, Bendoy Mangupot
Padilla, Henry Formarejo
Padilla, Monico Teodoro
Padilla, Oscar Bulu
Padua, Adoulffe Manay
Pagcaliwagan, Hilario Casañas
Pagiwayan, Cepriano Logico
Paglinawan, Arnold Manabit
Pagotaisidro, Alfreda Glodove
Pagusara Jr., Agustin Jadormeo
Pajarito, Edgar Cangas
Palabay , Armando  Ducusin
Palabay , Crisanto  Ducusin
Palad , Faith Merle Villaruel
Palen, Lorenzo Kileste
Palen, Reynaldo Gerona
Palivino, Oscar Paolin
Palo, Marco Gatmaitan
Palwa, Edecasio Polinga
Pancho, Salvador Francisco
Panganiban, Anecito Mandigma
Panganiban, Gregorio Javier
Pangilinan, Zoilo Francisco
Paniagua, Marilou Valera
Pano, Jaime Undicimo
Pansacala, Dominador Geralla
Papa, Jose Cruz
Papa, Ricardo Cruz
Paragoso, Erlindo Dayondon
Paredes, Sigfredo Pintacasi
Parojinog, Leonardo Ventero
Parong, George Alvareda
Parreno, Maria Reca Ruedas
Pasana, Modesto Palis
Pascual Jr., Francisco Gajete
Patawaran, Jose Santos
Patiño, Juliet Lacdoo
Patlingrao, Carlito Gica
Patlingrao, Genesis Gica
Paulino, Esteban Dizon
Pedoy, Fortunato Abe
Peleño, Rustico Batica
Pelonio, Ramon Sellana
Peñaflor Jr., Ciriaco Margallo
Peñaredondo, Eduardo Lapastora
Perales, Sherlita Bago
Pereyra, Gloria Arcilla
Perez, Elizer Lasib
Perez, Gregorio Mahirano
Pestaño, Romeo Jacinto
Picardal, Amado Legaspi
Pimentel, Antonio Aping
Pimentel, Gilbert Damatac
Pimentel, Rodrigo Aping
Pinaroc, Florentino Zamora
Pineda Sr., Renato Manguera
Pineda, Bernardo Manarang
Pineda, Ceferino Gamboa
Pineda, Rogelio De Leon
Pineda, Salvador Alquero
Pinguel, Baltazar Alido
Piodos, Jacinto Damalerio
Piopongco, Jaime Sibayan
Planas, Charito Lim
Platino, Anastacio Privado
Poja, Rebecca Sumalinog
Poliquit, Raymundo Celeridad
Pongol, Eduardo Zeta
Pontanes, Nestor Golong
Posa, Luis Arches
Posadas, Roger Dela Rosa
Presores, Christopher Gemilga
Prudente, Nemesio Encarnacion
Puentespina, Jaime Salutin
Pulvera, Marina Carpiz
Pungyan, Daniel Lachica
Puntay, Jose Quinto
Punzalang, Ramon Sagun
Quaresma, Ernesto Villasoto
Quiambao, Helen Dupan
Quijote, Juanito Natingga
Quijote, Rosene Omandac
Quilapio, Alfredo Tenoria
Quimpo, Nathan Gilbert Ferrer
Quiñonez, Cenon Salazar
Quintela, Elvira Cañadilla
Quintela, Rafael Delos Santos
Quintero, Valente Urbayan
Quinto, Victor Tambaoan
Raganit, Ricardo Gonzales
Ragragio, Junio Mella
Ramento, Anacleto Rardilla
Ramento, Conchita Gagarin
Ramirez, Luisito Pascual
Ramirez, Teodorico Castro
Ramos, Godofredo Tabubuca
Ramos, Juanito Padre
Ramos, Willie Deloso
Ramos, Ziegfred Gatchalian
Rañoa, Crispina Lagra
Rapada, Antonio Ocampo
Raval, Quirino Aribayan
Raymundo, Artemio Velasquez
Real, Rafael Embodo
Reazon, Rock Gella
Recla, Florida Dasal
Recomono, Jose Mercado
Recto, Felix Tapusok
Redoña, Rodolfo Lopez
Refugio, Ernesto Lariva
Regencia, Eulalia Jumawan
Relata, Jose Meson
Remolleno, Faustino Tandingan
Remulta III, Tomas Jabonero
Remulta III, Tomas Jabonero
Repuno, Alfredo Pungase
Resurreccion, Elias Pardillo
Revilla Jr., Arturo Placer
Revilleza, Villegas Sergio
Reyes , Paulito Asuncion
Reyes Jr., Guillermo Yap
Reyes, Annabelle Soto
Reyes, Leo Estolloso
Reyes, Narcisa Javier
Reyes, Oscar Arteta
Reyes, Ricardo Basilio
Reyes, Roberto Enriquez
Reyes, Sol Fuentes
Riaza, Honofre Dizon
Ricarze, Federico De La Peña
Rigor, Arsenio Granel
Rigor, Clemencio Galano
Rigor, Francisco Granel
Rigor, Teofilo Granil
Rios, Andres Villanueva
Rita, Rogelio Urbanos
Rivera Jr., Gregorio Gayamat
Rivera Jr., Vicente Casal
Rivera, Ricardo Gilbolingo
Rivera, Samson Cortez
Rivera, Temario Campos
Rizare, Gonzalo Bernales
Roberto, Raymundo Linao
Robes, Oscar Devera
Robles Jr., Toribio Laminaria
Rocacorba, Gil Dilalamon
Rodriguez, Carlito Tumang
Rodriguez, Reynaldo Layog
Rodriguez, Tiburcio Poncardas
Roldan, Robert Batoon
Roll, Edgardo Abe
Roque, Felix Domingo
Roque, Patnubay Sayas
Roque, Raul Bautista
Roque, Rodolfo Castro
Rosales, Samuel  Manzano
Rosca, Ninotchka Villarica
Rosello, Reuben Amante
Rosete, Alberto Andrada
Roxas , Nicasio De Pedro
Rubio, Rodante Herminigildo
Sabaceda, Victor Judavar
Sabanal, Almario Gomez
Sabandal, Crispulo Angeles
Sabate, Zaldy Iniego
Sabroso, Jimmy Lascuna
Sacamay, Leslie Gacayan
Sagaral, Agnes Jabilles
Sagaral, Emmanuel Catindig
Sagaral, Johnny Paredes
Sajor, Edsel Evangelista
Sajor, Lourdes Belcena
Saladaga, Roberto Tupas
Salanga Jr., Alfredo Navarro
Salar, Eduard Lumapas
Salarda, Rogelio Sabijon
Salas, Juanito Aniano
Salbigsal Sr., Anastacio  Bulawan
Salilid, Glicerio Valeriano
Salino, Fe Carreon
Salise, Lito Buagas
Salutin, Rolando Lapore
Salvador, Arnel Villorente
Salvador, Carlos Cabrera
Salvan , Jerry  Badol
Samaniego Jr., Dominador Baldazo
Samonte, Faustino Viray
Samonte, Teddy Peña
Sampang, Alfredo Valiente
Samporna, Usodan Disumala
Samson, Antonio Bacay
Samson, Rolando Solizar
San Antonio, Marivere Adea
Sanchez, Nicolas Lacadin
Sancho, Nelia Canimo
Sangalang, Edith Pickell
Sango, Napoleon Fontillas
Sanidad, Arno Villanueva
Saño, Nympha Madla
Saño, Stefani Creer
Santiago, Isabelo Lucas
Santiago, Ricardo Magno
Santillan, Leo Almodiel
Santos, Armando Teodoro
Santos, Benedicto Lintag
Santos, Ignacio Villarin
Santos, Luis Manalili
Santos, Pablo  Ambo
Saraguilla, Josephine Masinapoc
Sarceno Jr., Felix Belbes
Sarip, Casim Solaiman
Sarmiento, Aristides Quijano
Sateniaman, Dioniso Termoso
Sauza Jr., Melecio Delacruz
Sayno, Carlito Garcia
Sayno, Jose Aben
Sedimo, Sergio Sabroso
Segui, Josepito Capistrano
Segui, Leticia Santillan
Selgas, Gerry Intrina
Semilla, Samuel Roldan
Señeres, Arnold Villareal
Serenio, Edgardo Ramo
Serondo, Alberto Bacalso
Serrano, Pepito Labajo
Sese, Arcadio Roque
Sesgundo, Benjamin Raguindin
Sevillano, Gil Suyom
Sibal, Froilan Asucena
Silva, Romulo Reyes
Simbulan, Nymia Pimentel
Simbulan, Roland Guanlao
Simon, Achilles Pron
Singabor, Ronie Espora
Sinuleng, Balbino Carlos
Siodina, Henry Palma
Siron, Efren Castro
Sisi, Estelito Lonesto
Sison , Teresito Deguzman
Sison, Augusto Bastuba
Sison, Jose Maria Canlas
Sison, Julieta De Lima
Solano, Santiago Ablacador
Solayao, Antonio Adorna
Solidum, Prisberto Tirol
Solitrino, Juanito Gayud
Soliva, Jose Milan
Sombillo, Isabelita Angeles
Soquiño, Lorna Sumalinog
Soriano Jr., Crispin Afable
Soriano, Emerlyn Sahagun
Sorio, Manuel Dula
Sornito, Josefino Somo
Suarez, Nicolas Braza
Suarez, Wilfredo Torres
Suedad, Isidro Amboy
Sugue, Juanito Llenares
Sulboan, Cynthia Esternon
Sulit, Victor Sumbang
Sultan, Margarito Antipuesto
Sumingwa, Anthony Macalingay
Sunglao, Cesar Morales
Sunglao, Pedro Morales
Surima, Elmar Mistola
Suzara, Felipe Avellana
Tabanao, Patrocenio Fuentes
Tabara, Arturo Gabasan
Tabay, Mariabreña Capaning
Tabay, Rocelio Tac An
Tabinas, Pastor Guerrero
Tablada, Rafael Quillosa
Tablan, Edmundo Heresa
Tabontabon, Alejandro Cartabon
Tac An, Luz Dielen
Tac An, Rolando Ramones
Tacbad , Amelia  Canlas
Tacsagon, Jaime Tananggunan
Taganna, Melchor Viñas
Taguba, Cesar Tomilas
Taguiwalo, Judy Marigomen
Taguran, Teodolo Gonzaga
Talam Jr., Marcelino Magno
Talavera, Melchor Mordeno
Tan Jr., Antonio Peñascosa
Tan, Glicerio Jimenez
Tan, Helen Chin
Tan, Primo Marzan
Tan, Rogelio Epifanio
Tan, Vicente Tiu
Tandalong, Amelino Moro
Tandoy , Danilo Amawe
Tanduyan, Teresita Dacullo
Tantioco, Antonio Patingo
Tapang, Eleuterio Montebon
Tapang, Judith Pagunsan
Tapic, Carlito Villaber
Taracina, Justo Otcharan
Tarrosa Jr., Nestor Bernardo
Tarroza, Joseph Edwin Pasay
Tayaben, Juanito Castañeda
Tayag , Nilo  Salumbides
Tayag, Fernando Salumbides
Tayag, Jean Cacayorin
Tayco, Antonio Quijano
Tecson, Luis Zamora
Tellez Jr., Eliseo Concepcion
Tembreza, Expedito Briones
Templado, Marcela Escatin
Teng, Leonarda Bunag
Tenorio Jr., Pastor Ramo
Terrado, Arnulfo Andaya
Terrazola, Elito Brojan
Teves, Hermogenes Yanga
Teves, Oliver Gacrama
Tiamson Jr., Laureano Dizon
Tiamzon, Benito Enriquez
Tiamzon, Wilma Austria
Tiglao, Nemencio Canlas
Tiglao, Rigoberto Dikit
Timbreza, Irene Camiling
Timog, Santiago Guardiano
Tingzon, Domingo Gabane
Tiotuico, Reynaldo Juco
Tippang, Florencio Natividad
Tirol, Bertito Alingalan
Tiu, Macario Dionanao
Tizon, Orlando P.
Tolda, Cipriano Olasiman
Toledo, Bonifacio Olano
Tolentino, Rolando Perez
Tomas, Gerardo Medina
Topacio, Renato Hudencial
Torio, Tita Sabandal
Torremonia, Rojean Cayangjo
Torreon, Eustaquio Ramos
Torres, Jose Manuel
Trajano, Romeo Padilla
Trance, Alberto Bantug
Trance, Felipe Bantug
Traza, Alejandro Cabalfin
Trinidad, Rolieto Tibus
Trocio, Melecio Mangitngit
Tuazon, Romulo Maza
Tujan, Teresita Monzon
Tulalian, Edwin .
Tungal, Albino Cañedo
Turqueza, Celestino Balbin
Turqueza, Cesar Ramones
Turqueza, Romeo Garcia
Tuscano, Ruben Alimboyong
Ty, Antonio Bula
Uba, Avelino Gabucan
Ugot, Onofre Morales
Ujano , Maria Salome  Crisostomo
Ujano, Victorino Del Castillo
Ulanday, Victor Landrito
Umali, Antonio Lara
Umpad Jr., Bernaldo Bartua
Undag, Lydia Cabural
Upalda , Melinda  Valderrama
Upalda, Reynaldo Baquirigan
Urbina , Albaro Matalobos
Urbiztondo, Bernaldo Huerta
Urog, Crisostomo Borlongan
Urpiana, Elvira Maria Santos
Urpiana, Hernan Garcia
Uy, Dolores Manahan
Vailoces, Aurelio Awing
Valdehueza, Rolando Kinanahan
Valdellon, Victor Ventura
Valderama, Danilo Cerro
Valdez, Arnel Lucero
Valenciado, Danilo Balboa
Valenciano Jr., Jesus Edwin Caluza
Valenzuela, Patricio Demetion
Valenzuela, Wilso Astovesa
Valerio Jr., Ricardo Reguerra
Valiente, Jovita Bernardino
Varela, Romeo Delamida
Varquez, Leonardo Magamay
Vasquez, Juanito Bajar
Velez Jr., Alejandro Abandula
Veluz, Edwin Serrano
Venturillo, Armando Cordita
Venus, Felixberto Mamburam
Venus, Rodolfo Mamburam
Verana, Danilo Organista
Verano, Luzveminda Cabornay
Verdan, Jaime Romantico
Vergara, Esteban Caño
Vergara, Merle Ocampo
Verzola, Flora Valencia
Vidad, Basilio Antonio
Villa, Wilson Arena
Villalon, Bernardo Chica
Villamil, Winfred Macaraeg
Villamor Jr., Roberto David
Villamor, Nelson Bolo
Villanueva, Rodito Del Mundo
Villanueva, Rolinito Santillan
Villanueva, Wilfredo Raza
Villareal Jr., Quirico Endonila
Villarias Jr., Leopoldo Lambatin
Villarias, Fredelino Frades
Villariba, Marianita Collantes
Villarin, Lino Maderazo
Villarino Jr., Cornelio Abastas
Villarta  Jr., Romeo Lacsamana
Villaruel, Wilfredo Leonora
Villaseñor Jr., Jesus Lopez
Villaseñor, Jesus Jose Asenjo
Villaseñor, Peter Ferrer
Villegas, Florante Danseco
Villegas, Jose Maqueda
Villocino, Wilfredo Alba
Villostas, Rogelio Martinez
Viray, Lazaro Tiamzon
Vitug, Dante Beltran
Vitug, Virgilio Vitug
Walsh, Lillian Quimpo
Willison, Zenaida Delica
Wong, Antonio Cano
Yambao, Maria Fe Soriano
Yanong, Artemio Plateros
Yap, Bonifacio Jimenez
Yaranon, Nestor Gaylon
Ynzon, Ricardo Cabanos
Yparraguirre, Carmelito Rosillo
Zabala, Benjamin Aminazar
Zamar Jr., Felix Guarin
Zamora, Isidro Manatad
Zamora, Victorino Sanchez
Zanoria, Alfredo Sanchez
Zape, Nonito Chavez
Zurita, Jose Begno
""
""
